891543,0.02,-0.118,9.746
891573,0.018,-0.096,9.714
891604,0.008,-0.126,9.724
891634,0.01,-0.106,9.736
891664,0.02,-0.104,9.738
891694,0.004,-0.114,9.734
891724,0.024,-0.118,9.746
891754,0.022,-0.108,9.744
891784,0.014,-0.116,9.736
891814,0.024,-0.116,9.742
891844,0.01,-0.104,9.754
891874,0.034,-0.106,9.73
891904,0.014,-0.11,9.748
891934,0.028,-0.098,9.748
891964,0.02,-0.104,9.732
891994,0.002,-0.118,9.738
892024,0.032,-0.114,9.71
892054,0.016,-0.108,9.718
892084,0.014,-0.1,9.748
892114,0.02,-0.106,9.708
892144,0,-0.122,9.738
892174,0.024,-0.12,9.738
892204,0.044,-0.116,9.738
892234,0.022,-0.124,9.736
892264,0.012,-0.086,9.744
892294,0.006,-0.088,9.738
892324,0.008,-0.122,9.752
892354,0.024,-0.11,9.766
892384,0.032,-0.126,9.762
892414,0.004,-0.12,9.768
892444,0.026,-0.11,9.736
892474,0.02,-0.098,9.736
892504,0.032,-0.096,9.732
892534,0.002,-0.124,9.754
892564,0.026,-0.11,9.746
892594,0.038,-0.112,9.744
892624,0.002,-0.13,9.754
892654,0.038,-0.094,9.736
892685,0.014,-0.118,9.734
892715,0.022,-0.128,9.778
892745,0.012,-0.112,9.73
892775,0.028,-0.1,9.744
892805,0.02,-0.13,9.712
892835,0.008,-0.118,9.72
892865,0.002,-0.072,9.748
892895,-0.006,-0.11,9.728
892925,0.032,-0.102,9.732
892955,0.062,-0.13,9.744
892985,0.03,-0.118,9.724
893015,0.002,-0.11,9.708
893045,-0.004,-0.08,9.75
893075,0.008,-0.098,9.736
893105,0.054,-0.124,9.73
893135,0.002,-0.1,9.676
893165,0,-0.108,9.646
893195,-0.008,-0.116,9.732
893225,0.018,-0.128,9.87
893255,0.044,-0.098,9.816
893285,0.03,-0.128,9.714
893315,-0.026,-0.08,9.738
893345,-0.012,-0.086,9.75
893375,0.014,-0.096,9.756
893405,0.036,-0.118,9.762
893435,0.036,-0.098,9.726
893465,0.006,-0.11,9.738
893496,-0.022,-0.098,9.756
893526,-0.002,-0.092,9.744
893556,0.04,-0.106,9.716
893586,0.02,-0.118,9.708
893616,0.046,-0.124,9.732
893646,-0.004,-0.088,9.742
893676,-0.03,-0.102,9.74
893706,0.038,-0.112,9.726
893736,0.034,-0.116,9.726
893766,0.022,-0.108,9.74
893796,0.002,-0.096,9.75
893826,0.004,-0.1,9.746
893856,0.01,-0.104,9.748
893886,0.02,-0.134,9.726
893916,0.022,-0.116,9.682
893946,0.01,-0.098,9.726
893976,0.006,-0.098,9.742
894006,0.03,-0.104,9.742
894036,0.038,-0.112,9.7
894066,0.034,-0.122,9.734
894097,0.016,-0.124,9.744
894127,0.018,-0.108,9.772
